Name,Gene_Symbol,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000377803.4,H4C3,H4 clustered histone 3,726.959459622035,1.330529672368735,0.1131834056754379,11.755518968780018,6.615304625754025e-32,4.4186265717261425e-27
ENST00000581230.5,DDX5,DEAD-box helicase 5,889.676320350662,-1.3206503446248163,0.1256261294483517,-10.51254504476134,7.562467613133119e-26,2.525637308758068e-21
ENST00000221476.4,CKM,"creatine kinase, M-type",6078.540237795092,1.0335745657199715,0.0993936416778737,10.398799644243825,2.5107600482888456e-25,5.590123555513506e-21
ENST00000168977.7,NMRK2,nicotinamide riboside kinase 2,199.53491008918408,1.287612436917842,0.1271991492719446,10.122806986428806,4.376799563082979e-24,7.308598750414112e-20
ENST00000606017.2,CD24,CD24 molecule,1364.2196920984786,-1.672481309766486,0.1753932979672753,-9.535605574156744,1.4901330687040297e-21,1.9906389638203388e-17
ENST00000231121.3,HAND1,heart and neural crest derivatives expressed 1,816.9381502261934,-0.4660440216728796,0.0502255425105585,-9.279024145431706,1.7103783065610337e-20,1.6320429801205384e-16
ENST00000624238.3,BANCR,BRAF-activated non-protein coding RNA,1757.8058309304151,0.8937821671616615,0.0962967839659351,9.281537039469937,1.6705107027752722e-20,1.6320429801205384e-16
ENST00000368222.8,CRABP2,cellular retinoic acid binding protein 2,1234.8717395043177,-1.2688412645566922,0.1369805275720833,-9.262931652011552,1.988946891698273e-20,1.6606214835511806e-16
ENST00000260197.12,SORL1,sortilin related receptor 1,58.28995136785547,1.9952957425455609,0.2165422576241698,9.21434811125222,3.131754247295149e-20,2.324248813264802e-16
ENST00000707119.1,ABLIM1,actin binding LIM protein 1,1126.911960978019,1.3610375761870903,0.1533493171056568,8.875406828511295,6.967824404053774e-19,4.654088632443677e-15
ENST00000619133.4,CD24,CD24 molecule,410.8155463683379,-1.1188318299965438,0.1274383623166729,-8.7793958558283,1.6435509797792631e-18,9.979940376670551e-15
ENST00000525680.6,TP53I11,tumor protein p53 inducible protein 11,1591.799392455727,-0.608953465902952,0.070202903084728,-8.674192079606803,4.1649680115539496e-18,2.3182906113644545e-14
ENST00000246186.8,MMP24,matrix metallopeptidase 24,96.57412898027052,-2.42676673076811,0.2832351419848837,-8.568028365977362,1.0527186947938874e-17,5.4088686538509936e-14
ENST00000394593.7,LRRC8D,leucine rich repeat containing 8 VRAC subunit D,210.48549802706364,-0.8578087330376285,0.1008100356309746,-8.509160101656189,1.7519778462905764e-17,8.358686304652341e-14
ENST00000254810.8,H3-3B,H3.3 histone B,1281.3360877673042,0.9098408559868424,0.1077964610167315,8.440359241901474,3.1636382072140795e-17,1.4087470027510482e-13
ENST00000319248.13,PRDX1,peroxiredoxin 1,14851.350803368798,-0.8192930767540225,0.0975058927590513,-8.402498080588762,4.3707949959231686e-17,1.824643005985576e-13
ENST00000394825.6,NR4A1,nuclear receptor subfamily 4 group A member 1,494.4857860695133,2.0014473534147696,0.2423092608384916,8.259887989790084,1.4580922901990914e-16,5.728930378326949e-13
ENST00000491127.5,SLC26A9,solute carrier family 26 member 9,47.89542755666383,2.4020275626427647,0.2927203297911079,8.205878848103605,2.289101604337816e-16,8.494347364452228e-13
ENST00000330871.3,SOCS3,suppressor of cytokine signaling 3,546.0647216955236,3.671319573292093,0.4493754666421286,8.169826449862338,3.0883340561966726e-16,1.0856957102610556e-12
ENST00000361427.6,HMGN2,high mobility group nucleosomal binding domain 2,7300.67648897524,0.4485079027931508,0.0553024155534998,8.11009606550119,5.057975743725899e-16,1.6892121591321384e-12
ENST00000475686.5,TNNT2,"troponin T2, cardiac type",100.04465993838046,-1.106486018496498,0.1372359954823904,-8.062651599583273,7.465707290148803e-16,2.33073794983e-12
ENST00000431289.1,MYL7,myosin light chain 7,468.7379862711075,-1.096366486563521,0.1360383785011249,-8.059244006311461,7.67677259877534e-16,2.33073794983e-12
ENST00000422165.6,TNNT2,"troponin T2, cardiac type",11510.12769950778,-0.604222391175147,0.076790947315421,-7.868406528354001,3.591867686507677e-15,1.0381188127910584e-11
ENST00000302475.9,MCC,MCC regulator of Wnt signaling pathway,1021.2227861930364,1.0935226997716907,0.139143323458546,7.858966370725475,3.8731619499153375e-15,1.0381188127910584e-11
ENST00000374632.7,EPHB2,EPH receptor B2,768.602923760329,-0.6923017117803972,0.0880951576693755,-7.858567145979029,3.885524196750675e-15,1.0381188127910584e-11
ENST00000340623.4,AKAP19,A-kinase anchoring protein 19,63.97586712367025,1.3953783106025006,0.1795968154001567,7.7695047514817075,7.879358760446305e-15,2.024207265558656e-11
ENST00000266066.4,SFRP5,secreted frizzled related protein 5,323.9385274203806,-2.0215174675791907,0.2611829458389942,-7.73985246657472,9.953224155195348e-15,2.4622802008226592e-11
ENST00000380851.9,IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,632.0669753154713,0.5738746265688497,0.0746343636973275,7.689147440127479,1.481186945717345e-14,3.533371459008727e-11
ENST00000263398.11,CD44,CD44 molecule (IN blood group),83.20334180205309,1.5072347859705146,0.1981678541765939,7.605849052729653,2.830394892640623e-14,6.519082636518544e-11
ENST00000355899.8,PLS3,plastin 3,3255.1656448342987,-0.8151810500241229,0.10816647771574,-7.536355692069471,4.8328723497340775e-14,1.0760229190937931e-10
