Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000377803.4,726.959459622035,1.330529672368735,0.11318340567543797,11.755518968780018,6.615304625754025e-32,4.418626571726143e-27
ENST00000581230.5,889.676320350662,-1.3206503446248163,0.12562612944835172,-10.512545044761339,7.562467613133119e-26,2.5256373087580676e-21
ENST00000221476.4,6078.540237795092,1.0335745657199715,0.09939364167787373,10.398799644243823,2.5107600482888456e-25,5.590123555513506e-21
ENST00000168977.7,199.53491008918408,1.2876124369178419,0.12719914927194464,10.122806986428806,4.376799563082979e-24,7.308598750414112e-20
ENST00000606017.2,1364.2196920984786,-1.672481309766486,0.17539329796727537,-9.535605574156744,1.4901330687040297e-21,1.990638963820339e-17
ENST00000231121.3,816.9381502261934,-0.4660440216728796,0.05022554251055858,-9.279024145431706,1.7103783065610337e-20,1.6320429801205384e-16
ENST00000624238.3,1757.8058309304151,0.8937821671616615,0.09629678396593513,9.281537039469935,1.6705107027752722e-20,1.6320429801205384e-16
ENST00000368222.8,1234.8717395043177,-1.2688412645566922,0.13698052757208337,-9.262931652011552,1.988946891698273e-20,1.6606214835511806e-16
ENST00000260197.12,58.28995136785547,1.9952957425455609,0.21654225762416987,9.21434811125222,3.131754247295149e-20,2.324248813264802e-16
ENST00000707119.1,1126.9119609780187,1.3610375761870905,0.15334931710565683,8.875406828511295,6.967824404053774e-19,4.6540886324436774e-15
ENST00000619133.4,410.8155463683379,-1.1188318299965438,0.12743836231667294,-8.7793958558283,1.643550979779263e-18,9.979940376670553e-15
ENST00000525680.6,1591.799392455727,-0.608953465902952,0.07020290308472804,-8.674192079606803,4.1649680115539496e-18,2.3182906113644545e-14
ENST00000246186.8,96.57412898027053,-2.42676673076811,0.28323514198488375,-8.568028365977362,1.0527186947938874e-17,5.4088686538509936e-14
ENST00000394593.7,210.48549802706364,-0.8578087330376285,0.10081003563097468,-8.509160101656189,1.7519778462905764e-17,8.35868630465234e-14
ENST00000254810.8,1281.3360877673042,0.9098408559868424,0.10779646101673158,8.440359241901474,3.1636382072140795e-17,1.4087470027510482e-13
ENST00000319248.13,14851.350803368798,-0.8192930767540225,0.09750589275905135,-8.402498080588762,4.370794995923169e-17,1.824643005985576e-13
ENST00000394825.6,494.4857860695133,2.0014473534147696,0.24230926083849166,8.259887989790084,1.4580922901990914e-16,5.728930378326948e-13
ENST00000491127.5,47.89542755666383,2.4020275626427647,0.29272032979110796,8.205878848103605,2.289101604337816e-16,8.494347364452228e-13
ENST00000330871.3,546.0647216955236,3.671319573292093,0.4493754666421286,8.169826449862338,3.0883340561966726e-16,1.0856957102610556e-12
ENST00000361427.6,7300.67648897524,0.44850790279315084,0.05530241555349983,8.11009606550119,5.057975743725899e-16,1.6892121591321384e-12
ENST00000475686.5,100.04465993838046,-1.106486018496498,0.13723599548239043,-8.062651599583273,7.4657072901488035e-16,2.33073794983e-12
ENST00000431289.1,468.7379862711075,-1.096366486563521,0.1360383785011249,-8.059244006311461,7.67677259877534e-16,2.33073794983e-12
ENST00000422165.6,11510.127699507779,-0.604222391175147,0.07679094731542102,-7.868406528354001,3.591867686507677e-15,1.0381188127910584e-11
ENST00000302475.9,1021.2227861930365,1.0935226997716907,0.13914332345854608,7.858966370725475,3.8731619499153375e-15,1.0381188127910584e-11
ENST00000374632.7,768.602923760329,-0.6923017117803972,0.08809515766937556,-7.858567145979029,3.885524196750675e-15,1.0381188127910584e-11
ENST00000340623.4,63.97586712367025,1.3953783106025006,0.17959681540015673,7.7695047514817075,7.879358760446305e-15,2.0242072655586557e-11
ENST00000266066.4,323.9385274203806,-2.0215174675791907,0.2611829458389942,-7.73985246657472,9.953224155195348e-15,2.4622802008226592e-11
ENST00000380851.9,632.0669753154713,0.5738746265688497,0.07463436369732758,7.6891474401274795,1.481186945717345e-14,3.533371459008727e-11
ENST00000263398.11,83.20334180205309,1.5072347859705146,0.1981678541765939,7.605849052729653,2.830394892640623e-14,6.519082636518544e-11
ENST00000355899.8,3255.1656448342987,-0.8151810500241229,0.10816647771574002,-7.536355692069471,4.832872349734077e-14,1.0760229190937931e-10
ENST00000344887.10,659.6489074787216,1.603517473262947,0.2138569355837372,7.498084964539663,6.475692273092107e-14,1.3952819022223038e-10
ENST00000568470.6,1309.7238213806938,-0.42481299663415767,0.057686861109368236,-7.364120502739034,1.783185643013822e-13,3.722065682483288e-10
ENST00000491504.5,5151.165996218574,-1.1013577899979505,0.15080469974216992,-7.303206013346643,2.809904387554663e-13,5.362421533209319e-10
ENST00000379802.8,2004.148442592159,0.7671417751048123,0.10494736028170439,7.309776758992471,2.6758657333955126e-13,5.362421533209319e-10
ENST00000476464.5,15.900616767273304,-3.097300233646845,0.4239242715204747,-7.306258314811426,2.7468388116982135e-13,5.362421533209319e-10
