Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Diabetic cardiomyopathy,0.3548725497610383,1.5336749894221695,1.000000e-03,3.135900e-01,8.680000e-01,58/168,22.11%,SLC25A4;TNNI3;SLC2A1;PLN;ATP2A3;COX8A;UQCR11;MAPK13;COX7B;PPIF;UQCRQ;NDUFS6;IRS1;GYS1;RYR2;GFPT2;COX5A;TGFB2;NOS3;NDUFS5;UQCRHL;INSR;NDUFA1;PTPA;PIK3CB;NDUFB6;PLCB2;COX6B1;SDHB;ATP5F1E;COL1A2;NDUFB5;CAMK2A;VDAC3;ACE;GAPDH;NDUFAB1;NDUFB1;SDHC;UQCR10;NDUFC2;ATP5PB;COX6A1;COX5B;COX7A2L;AGT;ATP5PF;PPP1CB;GFPT1;MPC2;COX6C;NDUFS7;ATP5PO;NDUFC2-KCTD14;CPT1B;PLCB3;NDUFB7;COX7C
prerank,Regulation of lipolysis in adipocytes,0.4392728085668984,1.5329622464377122,3.258145e-02,2.896197e-01,8.690000e-01,10/43,9.79%,ADCY9;ADRB1;AQP7;ADRB2;ADRB3;IRS1;NPY1R;INSR;PTGER3;PIK3CB
prerank,Adipocytokine signaling pathway,0.4264399398730852,1.523976353091651,2.072539e-02,2.860807e-01,8.810000e-01,5/53,1.86%,SOCS3;PRKAA2;SLC2A1;ADIPOR2;RXRG
prerank,Selenocompound metabolism,-0.5789139064586122,-1.5050971109160394,4.278075e-02,4.025508e-01,9.530000e-01,7/17,22.29%,MARS2;SEPHS2;TXNRD3;PAPSS1;INMT;MARS1;TXNRD1
prerank,Glycosaminoglycan degradation,-0.5889423746144656,-1.495916188353585,5.369128e-02,3.806713e-01,9.640000e-01,10/15,26.73%,HPSE2;NAGLU;IDUA;SGSH;HEXA;HYAL2;GUSB;GLB1;GNS;GALNS
prerank,Biosynthesis of unsaturated fatty acids,-0.5195648204742715,-1.483883181939347,3.664921e-02,3.750056e-01,9.750000e-01,10/23,16.35%,ACOT7;HACD2;ELOVL5;ELOVL4;ACAA1;FADS2;ACOT1;FADS1;SCD;TECR
prerank,Non-alcoholic fatty liver disease,0.3492677145951427,1.4589512842568524,8.426966e-03,4.261668e-01,9.700000e-01,31/133,16.23%,SOCS3;PRKAA2;JUN;COX8A;ADIPOR2;UQCR11;MAPK13;COX7B;UQCRQ;NDUFS6;IRS1;COX5A;NDUFS5;UQCRHL;INSR;NDUFA1;PIK3CB;NDUFB6;COX6B1;SDHB;NDUFB5;CDC42;NDUFAB1;NDUFB1;PRKAB1;PRKAB2;SDHC;UQCR10;NDUFC2;COX6A1;COX5B
prerank,cGMP-PKG signaling pathway,0.3481996124910093,1.4514453450337292,9.118541e-03,4.193780e-01,9.750000e-01,21/123,8.51%,ADCY9;SLC25A4;ADRA2B;ADRB1;ADRB2;PLN;ATP2A3;PPP3R1;PRKCE;MYL9;SRF;PPIF;ADRB3;IRS1;NFATC2;ATP2B4;CREB3L2;NOS3;INSR;MAPK3;MYH7
prerank,Ascorbate and aldarate metabolism,-0.6541548558495851,-1.4496428876028364,6.216696e-02,4.462631e-01,9.910000e-01,5/9,25.26%,AKR1A1;ALDH9A1;GUSB;ALDH2;ALDH1B1
prerank,Signaling pathways regulating pluripotency of stem cells,0.35500887827587174,1.4477785491757125,8.645533e-03,4.027168e-01,9.770000e-01,23/105,9.79%,ID1;HOXB1;WNT2;SMAD9;ACVR2A;ACVR2B;ID4;NRAS;ID3;MAPK13;TBX3;FZD9;FZD3;ID2;JAK3;ACVR1B;MAPK3;WNT11;INHBE;ESRRB;FZD1;FZD4;PIK3CB
prerank,Viral protein interaction with cytokine and cytokine receptor,-0.483632482261215,-1.4389414180169127,4.280822e-02,4.421198e-01,9.950000e-01,16/29,23.58%,IL20RB;CXCL14;TNFRSF10D;CCL21;IL10RB;IL6R;CCR6;TNFRSF10C;ACKR3;CCL5;TNFRSF10A;CCR7;CXCR5;TNFRSF10B;CXCL12;CXCL11
prerank,Systemic lupus erythematosus,-0.4327107741312843,-1.438349422414648,4.118616e-02,4.069068e-01,9.950000e-01,26/53,16.09%,H2BC12;H2BC5;H2AC18;H2AC13;H2BC4;MACROH2A1;H2BC21;H2AC6;H2BC18;C1R;H3C6;C1S;H3C10;H4C14;H4C8;ACTN1;H2AC7;H4C5;H2AC8;H2AJ;H2BC15;H4C12;H2AC17;MACROH2A2;H2AC19;C5
prerank,Melanoma,0.3919567637821066,1.433134114550949,3.201970e-02,4.197285e-01,9.840000e-01,12/56,11.49%,PDGFD;FGF16;CCND1;E2F2;NRAS;PDGFB;FGF1;MAPK3;FGF9;PIK3CB;FGF7;RB1
prerank,Calcium signaling pathway,0.3341364363588061,1.42867736633002,6.309148e-03,4.079422e-01,9.840000e-01,38/153,15.13%,ADCY9;SLC25A4;ADRB1;PDGFD;FGF16;ADRB2;PLN;ATP2A3;PPP3R1;HRC;PDGFB;PHKA2;PPIF;ADRB3;ITPKA;RYR2;ATP2B4;CASQ1;NOS3;CASQ2;FGF1;PTGER3;FGF9;ASPH;PLCB2;CAMK2A;FGF7;ADORA2B;PTGFR;HRH2;VDAC3;PHKG1;ITPR1;FGF10;VEGFB;CACNA1G;PDE1B;GRIN2A
prerank,Amoebiasis,-0.4031383366440438,-1.417008741674526,4.559748e-02,4.422668e-01,9.970000e-01,22/63,24.77%,COL4A4;PRDX1;GNA11;LAMC2;LAMA1;HSPB1;COL1A1;ARG2;COL4A3;COL3A1;ACTN1;LAMA5;PRKCA;GNAQ;COL4A5;LAMB4;LAMB2;PIK3R2;RELA;CASP3;FN1;TGFB1
prerank,AMPK signaling pathway,0.3465487311155442,1.4079537833365607,1.098901e-02,4.396550e-01,9.920000e-01,25/101,17.45%,PRKAA2;PPP2R3A;EEF2K;CCND1;PFKFB4;ADIPOR2;CCNA2;IRS1;GYS1;SCD5;CREB3L2;PPP2R5A;INSR;PIK3CB;PPP2R5E;ELAVL1;PFKFB2;PRKAB1;PRKAB2;SIRT1;PPP2R5B;PFKFB3;FASN;PPARGC1A;PFKL
prerank,Other glycan degradation,-0.5438444126090756,-1.4070584342006514,8.070175e-02,4.424539e-01,1.000000e+00,7/15,14.87%,FUCA1;MAN2B1;NEU1;MAN2C1;GBA2;HEXA;FUCA2
prerank,Osteoclast differentiation,0.3598036936465567,1.404440571868532,2.902375e-02,4.268978e-01,9.920000e-01,13/86,9.79%,SOCS3;JUN;SOCS1;PPP3R1;JUNB;TAB1;MAPK13;NFATC2;TGFB2;MAPK3;IFNGR2;NOX1;PIK3CB
prerank,Inositol phosphate metabolism,0.3705386541647859,1.3993261909833277,3.412073e-02,4.196801e-01,9.930000e-01,19/66,20.24%,PIP4K2B;PIP4K2A;INPP5D;ITPKA;PIP5K1A;ALDH6A1;PIK3C2A;PIK3CB;PLCB2;INPP4B;PIP5K1C;MTMR1;MTMR7;INPP1;OCRL;PLCG1;ITPKB;PIKFYVE;MTMR6
prerank,Steroid biosynthesis,-0.5264695240412465,-1.3781741697256142,1.073944e-01,5.119816e-01,1.000000e+00,5/17,6.35%,SQLE;NSDHL;MSMO1;HSD17B7;CYP51A1
prerank,Breast cancer,0.33066546220369936,1.3560029100246394,2.439024e-02,5.281102e-01,9.990000e-01,23/114,11.49%,WNT2;JUN;FGF16;CCND1;E2F2;LRP5;HEY2;NRAS;SHC3;NCOA3;FZD9;FZD3;FGF1;MAPK3;WNT11;LRP6;FZD1;FGF9;FZD4;PIK3CB;FGF7;NOTCH2;RB1
prerank,Circadian rhythm,0.4353994102373579,1.3553641327426438,8.937198e-02,5.067784e-01,9.990000e-01,7/27,14.19%,PRKAA2;RBX1;NPAS2;CLOCK;BTRC;PRKAB1;PRKAB2
prerank,Adrenergic signaling in cardiomyocytes,0.32938168191352835,1.3547805719159252,3.179191e-02,4.874044e-01,9.990000e-01,32/115,18.73%,ADCY9;MYL2;PPP2R3A;ADRB1;TNNI3;ADRB2;PLN;ATP2A3;CACNB1;MAPK13;KCNQ1;RYR2;ATP2B4;CREB3L2;PPP2R5A;MAPK3;MYH7;PLCB2;PPP2R5E;CAMK2A;SCN5A;CACNA2D3;PPP2R5B;ATP1B2;RAPGEF4;ATP1B4;ADCY6;SLC9A1;AGT;PPP1R1A;RAPGEF3;CREM
prerank,Ether lipid metabolism,-0.4506179018808632,-1.346721063112148,7.925801e-02,5.984501e-01,1.000000e+00,10/31,15.25%,UGT8;PLAAT3;PLA2G3;GAL3ST1;ENPP2;PLA2G6;LPCAT2;LPCAT4;PAFAH2;PLA2G4B
prerank,Cytokine-cytokine receptor interaction,-0.35219823156211805,-1.3451799191388487,3.370787e-02,5.699388e-01,1.000000e+00,45/105,23.65%,BMP8A;INHA;IL20RB;CXCL14;TNFRSF10D;IL11;TNFRSF11B;TNFRSF21;INHBA;IL27RA;IL12RB2;CNTFR;RELT;IL17D;CCL21;IL10RB;IL6R;GDF5;CCR6;IL13RA1;GDF6;TNFRSF10C;ACKR3;GDF15;GDF11;TNFRSF25;TNFRSF12A;CCL5;EDA;BMP4;TNFRSF10A;NGFR;IL3RA;TNFSF9;CCR7;AMH;CXCR5;TNFRSF10B;LIF;IL12RB1;CXCL12;CXCL16;EPOR;CXCL11;CTF1
prerank,Vitamin B6 metabolism,-0.7233352203822287,-1.3398626521119787,1.090909e-01,5.600126e-01,1.000000e+00,3/5,15.06%,PSAT1;PDXP;PHOSPHO2
prerank,Autoimmune thyroid disease,-0.570119856416785,-1.3330904826813839,1.270417e-01,5.565084e-01,1.000000e+00,7/11,27.50%,HLA-E;HLA-A;TSHR;HLA-C;HLA-G;HLA-DMA;HLA-F
prerank,Cell adhesion molecules,-0.3676732379939388,-1.3328552384837642,7.360000e-02,5.295525e-01,1.000000e+00,22/75,18.25%,CLDN15;F11R;LRRC4;CLDN3;CLDN7;CD22;CLDN1;CLDN4;SELPLG;HLA-E;MADCAM1;HLA-A;MPZL1;CDH3;CLDN23;HLA-C;CDH2;VCAN;NECTIN2;CD99;NECTIN1;HLA-G
